Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A672666,*Katie,02/14/2014 03:09:00 PM,02/14/2014 03:09:00 PM,2627 Gwendolyn Ln in Austin (TX),Stray,Normal,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White,*Katie,02/21/2014 01:31:00 PM,02/21/2014 01:31:00 PM,08/14/2012,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White,0.0
A384027,Dibs,03/15/2019 02:21:00 PM,03/15/2019 02:21:00 PM,Belclaire Lane And Sundail in Austin (TX),Stray,Normal,Dog,Neutered Male,14 years,Labrador Retriever/Golden Retriever,Brown,Dibs,03/16/2019 04:51:00 PM,03/16/2019 04:51:00 PM,11/20/2004,Dog,Neutered Male,14 years,Labrador Retriever/Golden Retriever,Brown,0.0
A665843,Chubbs,10/23/2013 01:47:00 PM,10/23/2013 01:47:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,4 months,Domestic Shorthair Mix,Brown Tabby,Chubbs,11/03/2013 04:41:00 PM,11/03/2013 04:41:00 PM,06/23/2013,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby,0.0
A668433,*Hoop,12/03/2013 05:56:00 PM,12/03/2013 05:56:00 PM,S 1St And Oltorf St in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Red/White,*Hoop,12/10/2013 02:18:00 PM,12/10/2013 02:18:00 PM,12/03/2011,Dog,Intact Male,2 years,Pit Bull Mix,Red/White,1.0
A683220,X,07/09/2014 12:58:00 PM,07/09/2014 12:58:00 PM,14811 Chicadee in Pflugerville (TX),Public Assist,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue Tabby,X,07/30/2014 10:45:00 AM,07/30/2014 10:45:00 AM,07/08/2013,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue Tabby,0.0
A674877,,03/19/2014 03:18:00 PM,03/19/2014 03:18:00 PM,Johnny Morris Cove in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Miniature Poodle/Miniature Schnauzer,Black/White,,03/23/2014 05:08:00 PM,03/23/2014 05:08:00 PM,01/04/2014,Dog,Neutered Male,2 months,Miniature Poodle/Miniature Schnauzer,Black/White,0.0
A800513,,07/22/2019 01:53:00 PM,07/22/2019 01:53:00 PM,6214 Marigold Terrace in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Orange Tabby/White,,08/04/2019 01:56:00 PM,08/04/2019 01:56:00 PM,05/22/2019,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby/White,0.0
A797067,Tungu,06/08/2019 07:10:00 PM,06/08/2019 07:10:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,6 years,German Shepherd Mix,Black/Brown,Tungu,06/19/2019 12:58:00 PM,06/19/2019 12:58:00 PM,06/08/2013,Dog,Neutered Male,6 years,German Shepherd Mix,Black/Brown,0.0
A801161,,07/31/2019 05:18:00 PM,07/31/2019 05:18:00 PM,9306 Grandad Hills Drive in Austin (TX),Stray,Normal,Cat,Unknown,3 weeks,Domestic Shorthair,Black,,07/31/2019 06:08:00 PM,07/31/2019 06:08:00 PM,07/09/2019,Cat,Unknown,3 weeks,Domestic Shorthair,Black,0.0
A773489,*Guillermo,06/01/2018 06:08:00 PM,06/01/2018 06:08:00 PM,5701 West Slaughter Lane in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White,*Guillermo,06/23/2018 08:44:00 PM,06/23/2018 08:44:00 PM,04/25/2018,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Brown Tabby/White,0.0
A633175,Lovito,05/27/2015 12:00:00 PM,05/27/2015 12:00:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,4 years,German Shepherd/Chow Chow,Black/Brown,Lovito,07/01/2015 11:17:00 AM,07/01/2015 11:17:00 AM,01/25/2011,Dog,Neutered Male,4 years,German Shepherd/Chow Chow,Black/Brown,0.0
A803448,Jasper,09/01/2019 12:02:00 PM,09/01/2019 12:02:00 PM,6201 Sneed Cover in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair,Brown Tabby,Jasper,09/15/2019 04:16:00 PM,09/15/2019 04:16:00 PM,07/01/2019,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby,0.0
A717273,,12/05/2015 11:30:00 AM,12/05/2015 11:30:00 AM,2510 S Pleasent Valley in Austin (TX),Stray,Normal,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby,,12/09/2015 07:38:00 PM,12/09/2015 07:38:00 PM,12/05/2013,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby,0.0
A724016,*Chuy,04/10/2016 03:09:00 PM,04/10/2016 03:09:00 PM,6201 Levander Loop in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Chihuahua Shorthair/Dachshund,Black/Brown,*Chuy,04/16/2016 05:55:00 PM,04/16/2016 05:55:00 PM,04/10/2014,Dog,Neutered Male,2 years,Chihuahua Shorthair/Dachshund,Black/Brown,0.0
A804289,Boludo,09/12/2019 04:10:00 PM,09/12/2019 04:10:00 PM,17720 Regis Drive in Austin (TX),Stray,Normal,Dog,Intact Male,4 years,Labrador Retriever/Pit Bull,Brown/Black,Boludo,09/21/2019 05:44:00 PM,09/21/2019 05:44:00 PM,09/12/2015,Dog,Neutered Male,4 years,Labrador Retriever/Pit Bull,Brown/Black,0.0
A460100,Rebel,03/08/2017 10:20:00 PM,03/08/2017 10:20:00 PM,W Braker Ln & Hornsby Ln in Austin (TX),Stray,Injured,Dog,Neutered Male,11 years,Australian Shepherd Mix,Chocolate/Tan,Rebel,03/10/2017 10:46:00 AM,03/10/2017 10:46:00 AM,08/01/2005,Dog,Neutered Male,11 years,Australian Shepherd Mix,Chocolate/Tan,0.0
A775687,,07/03/2018 02:29:00 PM,07/03/2018 02:29:00 PM,5301 Two Iron Street in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White,,07/08/2018 06:37:00 PM,07/08/2018 06:37:00 PM,05/10/2018,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White,0.0
A706493,,06/29/2015 03:16:00 PM,06/29/2015 03:16:00 PM,806 Park Blvd in Austin (TX),Stray,Normal,Cat,Unknown,2 years,Domestic Shorthair Mix,Black,,06/30/2015 09:00:00 AM,06/30/2015 09:00:00 AM,06/29/2013,Cat,Unknown,2 years,Domestic Shorthair Mix,Black,0.0
A739932,*Elle,12/09/2016 11:03:00 AM,12/09/2016 11:03:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,5 months,Chihuahua Shorthair Mix,Brown/Tan,*Elle,02/10/2017 05:27:00 PM,02/10/2017 05:27:00 PM,07/09/2016,Dog,Spayed Female,7 months,Chihuahua Shorthair Mix,Brown/Tan,0.0
A674508,*Spencer,03/14/2014 11:15:00 AM,03/14/2014 11:15:00 AM,7216 Texas 71 in Austin (TX),Stray,Normal,Dog,Neutered Male,8 years,Labrador Retriever Mix,Yellow,*Spencer,09/30/2014 08:03:00 AM,09/30/2014 08:03:00 AM,03/14/2006,Dog,Neutered Male,8 years,Labrador Retriever Mix,Yellow,0.0
A699079,Lobo,09/06/2016 12:56:00 PM,09/06/2016 12:56:00 PM,13005 Heineman Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,1 year,Labrador Retriever Mix,Tan/White,Lobo,09/11/2016 04:38:00 PM,09/11/2016 04:38:00 PM,10/22/2014,Dog,Neutered Male,1 year,Labrador Retriever Mix,Tan/White,0.0
A737337,Aischa,10/26/2016 04:18:00 AM,10/26/2016 04:18:00 AM,12707 Poquoson in Austin (TX),Stray,Aged,Dog,Spayed Female,13 years,Chow Chow Mix,Red,Aischa,10/26/2016 11:42:00 AM,10/26/2016 11:42:00 AM,10/26/2003,Dog,Spayed Female,13 years,Chow Chow Mix,Red,0.0
A728802,Sunshine,06/08/2016 05:47:00 PM,06/08/2016 05:47:00 PM,3308 Thompson in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby,Sunshine,06/13/2016 03:00:00 PM,06/13/2016 03:00:00 PM,04/16/2016,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby,0.0
A797447,,06/13/2019 02:51:00 PM,06/13/2019 02:51:00 PM,1213 Southport in Austin (TX),Stray,Normal,Cat,Intact Male,3 months,Domestic Medium Hair,Black/White,,06/17/2019 07:57:00 PM,06/17/2019 07:57:00 PM,03/13/2019,Cat,Intact Male,3 months,Domestic Medium Hair,Black/White,0.0
A772001,,05/13/2018 01:24:00 PM,05/13/2018 01:24:00 PM,2906 East Martin Luther King Jr Boulevard in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,White/Black,,05/15/2018 09:35:00 AM,05/15/2018 09:35:00 AM,04/19/2018,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,White/Black,0.0
A770459,Harvey,04/20/2018 10:49:00 AM,04/20/2018 10:49:00 AM,7101 Highway 71 in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Australian Cattle Dog Mix,White/Tricolor,Harvey,05/02/2018 03:37:00 PM,05/02/2018 03:37:00 PM,04/20/2017,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,White/Tricolor,0.0
A732096,Pecan,08/02/2016 11:24:00 AM,08/02/2016 11:24:00 AM,Austin (TX),Public Assist,Normal,Dog,Spayed Female,5 months,Australian Kelpie Mix,Brown/White,Pecan,08/10/2016 11:54:00 AM,08/10/2016 11:54:00 AM,02/02/2016,Dog,Spayed Female,6 months,Australian Kelpie Mix,Brown/White,0.0
A678567,*Dixie,05/10/2014 12:31:00 PM,05/10/2014 12:31:00 PM,Burnet Rd And Mcneil in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Chihuahua Shorthair/Rat Terrier,Brown/White,*Dixie,05/24/2014 03:08:00 PM,05/24/2014 03:08:00 PM,05/10/2013,Dog,Spayed Female,1 year,Chihuahua Shorthair/Rat Terrier,Brown/White,0.0
A754667,*Mooshoo,07/22/2017 04:29:00 PM,07/22/2017 04:29:00 PM,6511 Burnet Lane in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby,*Mooshoo,09/16/2017 04:22:00 PM,09/16/2017 04:22:00 PM,06/16/2017,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby,0.0
A679061,Aeris,05/28/2014 11:21:00 AM,05/28/2014 11:21:00 AM,Manor & Roggie in Austin (TX),Public Assist,Normal,Dog,Spayed Female,8 months,Pit Bull Mix,Black Brindle/White,Aeris,06/24/2014 06:37:00 PM,06/24/2014 06:37:00 PM,09/16/2013,Dog,Spayed Female,9 months,Pit Bull Mix,Black Brindle/White,0.0
A708415,,07/27/2015 03:15:00 PM,07/27/2015 03:15:00 PM,3810 Manchaca Road in Austin (TX),Stray,Normal,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby,,07/27/2015 03:38:00 PM,07/27/2015 03:38:00 PM,07/05/2015,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby,0.0
A800176,Oreo,08/05/2019 10:21:00 AM,08/05/2019 10:21:00 AM,Hunters Bend And Halliday Avenue in Austin (TX),Stray,Normal,Dog,Intact Male,5 months,Alaskan Husky,Black/White,Oreo,08/05/2019 01:43:00 PM,08/05/2019 01:43:00 PM,02/17/2019,Dog,Intact Male,5 months,Alaskan Husky,Black/White,0.0
A671153,Milky,01/20/2014 05:19:00 PM,01/20/2014 05:19:00 PM,Austin (TX),Public Assist,Normal,Dog,Intact Male,3 years,Chihuahua Shorthair Mix,Tan,Milky,01/31/2014 06:29:00 PM,01/31/2014 06:29:00 PM,01/19/2011,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan,0.0
A704121,Lacey 3,06/01/2015 04:52:00 PM,06/01/2015 04:52:00 PM,Parmer Lane & 130 in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Shih Tzu Mix,Tricolor,Lacey 3,06/03/2015 12:11:00 PM,06/03/2015 12:11:00 PM,06/01/2013,Dog,Spayed Female,2 years,Shih Tzu Mix,Tricolor,0.0
A729822,*Reeses,06/24/2016 12:04:00 PM,06/24/2016 12:04:00 PM,11309 Doyle Overton Rd in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby,*Reeses,07/01/2016 06:33:00 PM,07/01/2016 06:33:00 PM,04/24/2016,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby,0.0
A796927,,06/07/2019 12:41:00 PM,06/07/2019 12:41:00 PM,5701 Teri Rd in Austin (TX),Stray,Nursing,Cat,Intact Female,2 weeks,Domestic Shorthair,Gray Tabby,,06/07/2019 05:05:00 PM,06/07/2019 05:05:00 PM,05/23/2019,Cat,Intact Female,2 weeks,Domestic Shorthair,Gray Tabby,0.0
A808871,Oddy,11/15/2019 12:12:00 PM,11/15/2019 12:12:00 PM,4213 Shallowbrook Trail in Austin (TX),Stray,Normal,Dog,Intact Male,3 months,Chihuahua Shorthair,Tan/White,Oddy,11/19/2019 05:10:00 PM,11/19/2019 05:10:00 PM,08/15/2019,Dog,Neutered Male,3 months,Chihuahua Shorthair,Tan/White,0.0
A731470,,07/22/2016 03:54:00 PM,07/22/2016 03:54:00 PM,Wickfield Ln And Trotwood Dr in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Siamese Mix,Seal Point,,07/26/2016 05:32:00 PM,07/26/2016 05:32:00 PM,05/04/2016,Cat,Neutered Male,2 months,Siamese Mix,Seal Point,0.0
A765743,*Champ,01/25/2018 05:59:00 PM,01/25/2018 05:59:00 PM,Guadalupe Street And 38Th Street in Austin (TX),Stray,Normal,Dog,Intact Male,10 months,German Shepherd/Black Mouth Cur,Black/Tan,*Champ,01/30/2018 07:24:00 PM,01/30/2018 07:24:00 PM,02/25/2017,Dog,Neutered Male,11 months,German Shepherd/Black Mouth Cur,Black/Tan,0.0
A781823,,10/06/2018 11:40:00 AM,10/06/2018 11:40:00 AM,6213 Seville Drive in Austin (TX),Stray,Normal,Dog,Intact Female,9 months,Scottish Terrier Mix,Tricolor/Black,,10/10/2018 05:33:00 PM,10/10/2018 05:33:00 PM,12/10/2017,Dog,Spayed Female,9 months,Scottish Terrier Mix,Tricolor/Black,0.0
A792215,Ramon,04/07/2019 06:47:00 PM,04/07/2019 06:47:00 PM,Vargas Road And Santos Street in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Boston Terrier,White/Brown Brindle,Ramon,04/08/2019 02:06:00 PM,04/08/2019 02:06:00 PM,04/07/2017,Dog,Intact Male,2 years,Boston Terrier,White/Brown Brindle,0.0
A747311,Hunter,04/18/2017 09:36:00 AM,04/18/2017 09:36:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,3 years,Siamese Mix,Flame Point,Hunter,04/26/2017 01:41:00 PM,04/26/2017 01:41:00 PM,04/18/2014,Cat,Neutered Male,3 years,Siamese Mix,Flame Point,0.0
A682573,Harley Quinn,06/29/2014 06:09:00 PM,06/29/2014 06:09:00 PM,Hwy 71 And Manchaca in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,German Wirehaired Pointer Mix,Black/White,Harley Quinn,07/11/2014 03:25:00 PM,07/11/2014 03:25:00 PM,06/29/2013,Dog,Spayed Female,1 year,German Wirehaired Pointer Mix,Black/White,0.0
A768218,Oreo,03/15/2018 10:26:00 AM,03/15/2018 10:26:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,4 years,Shih Tzu Mix,Black/White,Oreo,03/15/2018 12:23:00 PM,03/15/2018 12:23:00 PM,03/15/2014,Dog,Spayed Female,4 years,Shih Tzu Mix,Black/White,0.0
A712193,,09/19/2015 08:19:00 AM,09/19/2015 08:19:00 AM,1609 Larkwood Dr in Austin (TX),Stray,Sick,Dog,Intact Male,10 years,Boxer Mix,White/Black,,09/20/2015 04:01:00 PM,09/20/2015 04:01:00 PM,09/19/2005,Dog,Intact Male,10 years,Boxer Mix,White/Black,1.0
A778653,Apollonia,12/30/2018 04:18:00 PM,12/30/2018 04:18:00 PM,Travis (TX),Owner Surrender,Normal,Dog,Spayed Female,6 years,Pit Bull Mix,Blue/White,Apollonia,12/24/2018 02:05:00 PM,12/24/2018 02:05:00 PM,08/18/2012,Dog,Spayed Female,6 years,Pit Bull Mix,Blue/White,0.0
A757358,025B,09/01/2017 02:47:00 PM,09/01/2017 02:47:00 PM,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,2 years,Labrador Retriever Mix,Black,025B,10/03/2017 12:29:00 PM,10/03/2017 12:29:00 PM,09/01/2015,Dog,Intact Female,2 years,Labrador Retriever Mix,Black,0.0
A708921,*Arliss,08/02/2015 03:53:00 PM,08/02/2015 03:53:00 PM,11309 Jack Rabbit Trl in Austin (TX),Stray,Injured,Dog,Intact Male,2 years,Pit Bull Mix,Black/White,*Arliss,02/28/2016 01:55:00 PM,02/28/2016 01:55:00 PM,08/02/2013,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White,0.0
A710754,,08/27/2015 11:37:00 AM,08/27/2015 11:37:00 AM,8518 Cahill Dr in Austin (TX),Stray,Normal,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby,,08/28/2015 09:00:00 AM,08/28/2015 09:00:00 AM,08/27/2013,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby,0.0
A757288,,09/01/2017 12:36:00 PM,09/01/2017 12:36:00 PM,200 San Jose St in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Australian Terrier Mix,Tan,,09/05/2017 05:55:00 PM,09/05/2017 05:55:00 PM,06/16/2017,Dog,Neutered Male,2 months,Australian Terrier Mix,Tan,0.0
A800980,Firulin,07/29/2019 03:21:00 PM,07/29/2019 03:21:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,10 years,Rat Terrier Mix,Black/Brown,Firulin,08/04/2019 05:36:00 PM,08/04/2019 05:36:00 PM,07/29/2009,Dog,Intact Male,10 years,Rat Terrier Mix,Black/Brown,0.0
A736561,,10/12/2016 06:28:00 PM,10/12/2016 06:28:00 PM,603 North Cuernavaca in Travis (TX),Public Assist,Normal,Dog,Spayed Female,7 months,Rat Terrier Mix,Tricolor,,10/13/2016 09:59:00 AM,10/13/2016 09:59:00 AM,02/12/2016,Dog,Spayed Female,8 months,Rat Terrier Mix,Tricolor,0.0
A741771,*Spots,01/08/2017 12:30:00 PM,01/08/2017 12:30:00 PM,S Hwy 183 And Burleson Rd in Travis (TX),Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix,Black/White,*Spots,02/08/2017 09:17:00 AM,02/08/2017 09:17:00 AM,01/08/2016,Dog,Neutered Male,1 year,Pit Bull Mix,Black/White,0.0
A773354,Mulaney,05/30/2018 05:23:00 PM,05/30/2018 05:23:00 PM,7201 Colony Loop Drive in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Boxer/Plott Hound,Brown Brindle/White,Mulaney,06/04/2018 06:09:00 PM,06/04/2018 06:09:00 PM,12/30/2017,Dog,Spayed Female,5 months,Boxer/Plott Hound,Brown Brindle/White,0.0
A747422,,04/19/2017 12:56:00 PM,04/19/2017 12:56:00 PM,3421 Hovenweep Ave in Austin (TX),Stray,Normal,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Blue,,04/25/2017 12:00:00 AM,04/25/2017 12:00:00 AM,04/19/2015,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Blue,0.0
A702230,,05/11/2015 11:13:00 AM,05/11/2015 11:13:00 AM,201 E Mary St in Austin (TX),Stray,Normal,Cat,Intact Male,2 years,Siamese Mix,Seal Point,,05/12/2015 09:00:00 AM,05/12/2015 09:00:00 AM,05/11/2013,Cat,Intact Male,2 years,Siamese Mix,Seal Point,0.0
A744772,,03/07/2017 12:17:00 PM,03/07/2017 12:17:00 PM,11205 Jockey Bluff Dr in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Longhair Mix,Black,,03/08/2017 09:00:00 AM,03/08/2017 09:00:00 AM,03/07/2016,Cat,Spayed Female,1 year,Domestic Longhair Mix,Black,0.0
A754274,Lexi,08/03/2017 12:04:00 PM,08/03/2017 12:04:00 PM,5003 Emerald Forest Circle in Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Rottweiler,Black/Brown,Lexi,08/06/2017 02:05:00 PM,08/06/2017 02:05:00 PM,07/18/2016,Dog,Spayed Female,1 year,Rottweiler,Black/Brown,0.0
A737329,,10/25/2016 05:19:00 PM,10/25/2016 05:19:00 PM,Airport Blvd And Manor Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Shih Tzu Mix,Brown,,10/28/2016 11:57:00 AM,10/28/2016 11:57:00 AM,10/25/2014,Dog,Neutered Male,2 years,Shih Tzu Mix,Brown,0.0
A808195,,11/05/2019 03:52:00 PM,11/05/2019 03:52:00 PM,1050 E 11Th St in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Black,,11/05/2019 04:45:00 PM,11/05/2019 04:45:00 PM,11/05/2017,Other,Unknown,2 years,Bat,Black,1.0
A797246,*Nino,06/11/2019 12:25:00 PM,06/11/2019 12:25:00 PM,Pflugerville (TX),Owner Surrender,Normal,Cat,Intact Male,3 months,Domestic Medium Hair,White/Blue Tabby,*Nino,06/14/2019 12:17:00 PM,06/14/2019 12:17:00 PM,02/11/2019,Cat,Neutered Male,4 months,Domestic Medium Hair,White/Blue Tabby,0.0
A760148,Lund Kitty,10/13/2017 01:04:00 PM,10/13/2017 01:04:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,7 years,American Curl Shorthair Mix,Brown Tabby/White,Lund Kitty,10/30/2017 06:18:00 PM,10/30/2017 06:18:00 PM,10/13/2010,Cat,Spayed Female,7 years,American Curl Shorthair Mix,Brown Tabby/White,0.0
A778852,Jafar,08/23/2018 06:44:00 PM,08/23/2018 06:44:00 PM,Camden Drive And Aldford Drive in Austin (TX),Stray,Normal,Other,Intact Male,1 year,Ferret Mix,Brown/White,Jafar,08/26/2018 11:23:00 AM,08/26/2018 11:23:00 AM,08/21/2017,Other,Intact Male,1 year,Ferret Mix,Brown/White,0.0
A770440,,04/19/2018 05:49:00 PM,04/19/2018 05:49:00 PM,2104 E Anderson Lane 1614 in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Weimaraner Mix,Tan,,04/24/2018 11:36:00 AM,04/24/2018 11:36:00 AM,04/19/2017,Dog,Neutered Male,1 year,Weimaraner Mix,Tan,0.0
A791383,*Halen,03/25/2019 11:18:00 AM,03/25/2019 11:18:00 AM,Higgins Street And Airport Boulevard in Austin (TX),Stray,Normal,Dog,Intact Male,9 months,Pit Bull/Pointer,White/Black,*Halen,04/04/2019 08:59:00 PM,04/04/2019 08:59:00 PM,05/25/2018,Dog,Neutered Male,10 months,Pit Bull/Pointer,White/Black,0.0
A726422,Callie,05/10/2016 04:10:00 PM,05/10/2016 04:10:00 PM,7201 Levander Loop in Austin (TX),Stray,Normal,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie,Callie,12/08/2016 02:43:00 PM,12/08/2016 02:43:00 PM,05/10/2014,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie,0.0
