Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A815779,,03/26/2020 01:30:00 AM,03/26/2020 01:30:00 AM,2207 Willow St in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown,,03/26/2020 08:17:00 AM,03/26/2020 08:17:00 AM,03/26/2018,Other,Unknown,,Bat,Brown,1.0
A815776,,03/25/2020 10:47:00 PM,03/25/2020 10:47:00 PM,8601 Research Blvd in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown/Brown,,03/26/2020 09:02:00 AM,03/26/2020 09:02:00 AM,03/25/2018,Other,Unknown,2 years,Bat,Brown/Brown,1.0
A815773,,03/25/2020 05:18:00 PM,03/25/2020 05:18:00 PM,914 Porpoise in Lakeway (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Brown,,03/25/2020 05:40:00 PM,03/25/2020 05:40:00 PM,03/25/2019,Other,Unknown,1 year,Bat,Brown,1.0
A815771,,03/25/2020 11:19:00 PM,03/25/2020 11:19:00 PM,1905 Kramer Swt 300 in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown/Brown,,03/26/2020 08:16:00 AM,03/26/2020 08:16:00 AM,03/25/2018,Other,Unknown,,Bat,Brown/Brown,1.0
A815768,,03/25/2020 03:08:00 PM,03/25/2020 03:08:00 PM,2915 Aftonshire Way in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Black/Brown,,03/25/2020 03:20:00 PM,03/25/2020 03:20:00 PM,03/25/2018,Other,Unknown,,Bat,Black/Brown,1.0
A815767,,03/25/2020 02:46:00 PM,03/25/2020 02:46:00 PM,505 W 22Nd St in Austin (TX),Wildlife,Sick,Other,Unknown,2 years,Bat,Brown,,03/25/2020 03:03:00 PM,03/25/2020 03:03:00 PM,03/25/2018,Other,Unknown,2 years,Bat,Brown,1.0
A815765,,03/25/2020 01:30:00 PM,03/25/2020 01:30:00 PM,14810 Iowa St in Austin (TX),Stray,Injured,Cat,Intact Male,2 years,Domestic Shorthair,Brown Tabby,,03/27/2020 09:52:00 AM,03/27/2020 09:52:00 AM,03/25/2018,Cat,Intact Male,2 years,Domestic Shorthair,Brown Tabby,1.0
A815763,,03/25/2020 01:10:00 PM,03/25/2020 01:10:00 PM,12716 Stoney Ridge in Travis (TX),Stray,Sick,Dog,Intact Female,2 years,Chihuahua Shorthair,Tan/White,,03/26/2020 05:44:00 PM,03/26/2020 05:44:00 PM,03/25/2018,Dog,Intact Female,,Chihuahua Shorthair,Tan/White,0.0
A815762,,03/25/2020 11:24:00 AM,03/25/2020 11:24:00 AM,5806 Guadalupe in Austin (TX),Wildlife,Sick,Other,Unknown,1 year,Fox,Brown,,03/25/2020 11:51:00 AM,03/25/2020 11:51:00 AM,03/25/2019,Other,Unknown,,Fox,Brown,1.0
A815754,,03/24/2020 09:02:00 PM,03/24/2020 09:02:00 PM,210 Lavaca St in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Brown,,03/25/2020 07:52:00 AM,03/25/2020 07:52:00 AM,03/24/2019,Other,Unknown,1 year,Bat,Brown,1.0
A815753,,03/24/2020 09:00:00 PM,03/24/2020 09:00:00 PM,421 W 3Rd St in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Brown,,03/25/2020 07:50:00 AM,03/25/2020 07:50:00 AM,03/24/2019,Other,Unknown,1 year,Bat,Brown,1.0
A815750,,03/24/2020 05:55:00 PM,03/24/2020 05:55:00 PM,5414 Shoalwood in Austin (TX),Wildlife,Sick,Other,Unknown,1 year,Raccoon,Brown/Black,,03/24/2020 06:54:00 PM,03/24/2020 06:54:00 PM,03/24/2019,Other,Unknown,1 year,Raccoon,Brown/Black,1.0
A815749,,03/24/2020 05:45:00 PM,03/24/2020 05:45:00 PM,611 E 6Th St in Austin (TX),Wildlife,Injured,Other,Unknown,1 year,Bat,Brown,,03/24/2020 06:52:00 PM,03/24/2020 06:52:00 PM,03/24/2019,Other,Unknown,1 year,Bat,Brown,1.0
A815748,,03/24/2020 05:13:00 PM,03/24/2020 05:13:00 PM,12520 Mexicana Cv in Travis (TX),Stray,Injured,Cat,Intact Male,6 days,Domestic Shorthair,Brown Tabby,,03/24/2020 06:32:00 PM,03/24/2020 06:32:00 PM,03/18/2020,Cat,Intact Male,6 days,Domestic Shorthair,Brown Tabby,1.0
A815747,,03/24/2020 05:13:00 PM,03/24/2020 05:13:00 PM,12520 Mexicana Cv in Travis (TX),Stray,Injured,Cat,Intact Male,6 days,Domestic Shorthair,Brown Tabby,,03/24/2020 06:31:00 PM,03/24/2020 06:31:00 PM,03/18/2020,Cat,Intact Male,6 days,Domestic Shorthair,Brown Tabby,1.0
A815746,,03/24/2020 05:13:00 PM,03/24/2020 05:13:00 PM,12520 Mexicana Cv in Travis (TX),Stray,Injured,Cat,Intact Male,1 weeks,Domestic Shorthair,Orange Tabby,,03/24/2020 06:31:00 PM,03/24/2020 06:31:00 PM,03/16/2020,Cat,Intact Male,1 weeks,Domestic Shorthair,Orange Tabby,0.0
A815745,,03/24/2020 05:13:00 PM,03/24/2020 05:13:00 PM,12520 Mexicana Cv in Travis (TX),Stray,Injured,Cat,Intact Female,1 weeks,Domestic Shorthair,Brown Tabby,,03/24/2020 06:30:00 PM,03/24/2020 06:30:00 PM,03/16/2020,Cat,Intact Female,1 weeks,Domestic Shorthair,Brown Tabby,0.0
A815739,Lola,03/24/2020 03:43:00 PM,03/24/2020 03:43:00 PM,5013 Copperbend Boulevard in Austin (TX),Owner Surrender,Normal,Dog,Intact Female,5 years,German Shepherd,Black/Brown,Lola,03/26/2020 11:14:00 AM,03/26/2020 11:14:00 AM,03/24/2015,Dog,Intact Female,5 years,German Shepherd,Black/Brown,0.0
A815735,,03/24/2020 01:45:00 PM,03/24/2020 01:45:00 PM,110 Inner Campus Dr in Austin (TX),Wildlife,Sick,Other,Unknown,1 year,Bat,Black,,03/24/2020 02:07:00 PM,03/24/2020 02:07:00 PM,03/24/2019,Other,Unknown,1 year,Bat,Black,1.0
A815729,,03/24/2020 12:22:00 PM,03/24/2020 12:22:00 PM,1301 Brentwood Street in Austin (TX),Wildlife,Sick,Other,Unknown,2 years,Raccoon,Black/Gray,,03/24/2020 01:44:00 PM,03/24/2020 01:44:00 PM,03/24/2018,Other,Unknown,2 years,Raccoon,Black/Gray,1.0
A815721,,03/23/2020 11:57:00 PM,03/23/2020 11:57:00 PM,6800 Mcneil Dr in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Brown,,03/24/2020 09:17:00 AM,03/24/2020 09:17:00 AM,03/23/2019,Other,Unknown,1 year,Bat,Brown,1.0
A815716,,03/23/2020 09:35:00 PM,03/23/2020 09:35:00 PM,7640 Guadalupe in Austin (TX),Stray,Injured,Cat,Intact Male,3 years,Domestic Longhair,Gray Tabby,,03/24/2020 09:21:00 AM,03/24/2020 09:21:00 AM,03/23/2017,Cat,Intact Male,3 years,Domestic Longhair,Gray Tabby,1.0
A815715,,03/23/2020 07:13:00 PM,03/23/2020 07:13:00 PM,1601 Montopolis Dr in Austin (TX),Stray,Nursing,Cat,Intact Male,2 weeks,Domestic Shorthair,Gray,,03/24/2020 11:22:00 AM,03/24/2020 11:22:00 AM,03/08/2020,Cat,Intact Male,2 weeks,Domestic Shorthair,Gray,0.0
A815714,,03/23/2020 07:13:00 PM,03/23/2020 07:13:00 PM,1601 Montopolis Dr in Austin (TX),Stray,Nursing,Cat,Intact Female,2 weeks,Domestic Shorthair,Gray,,03/24/2020 11:22:00 AM,03/24/2020 11:22:00 AM,03/08/2020,Cat,Intact Female,2 weeks,Domestic Shorthair,Gray,0.0
A815708,,03/23/2020 04:35:00 PM,03/23/2020 04:35:00 PM,5408 Sugar Maple Court in Austin (TX),Stray,Normal,Dog,Intact Female,9 months,Rhod Ridgeback/Redbone Hound,Brown,,03/27/2020 03:05:00 PM,03/27/2020 03:05:00 PM,06/23/2019,Dog,Intact Female,9 months,Rhod Ridgeback/Redbone Hound,Brown,0.0
A815688,Sofia,03/23/2020 12:21:00 PM,03/23/2020 12:21:00 PM,2500 Montopolis in Austin (TX),Stray,Normal,Dog,Spayed Female,4 years,Yorkshire Terrier,Brown/Black,Sofia,03/24/2020 02:55:00 PM,03/24/2020 02:55:00 PM,03/23/2016,Dog,Spayed Female,4 years,Yorkshire Terrier,Brown/Black,0.0
A815686,Franklin,03/23/2020 12:21:00 PM,03/23/2020 12:21:00 PM,2500 Montopolis in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Yorkshire Terrier,Brown/Black,Franklin,03/24/2020 02:53:00 PM,03/24/2020 02:53:00 PM,08/13/2014,Dog,Neutered Male,5 years,Yorkshire Terrier,Brown/Black,0.0
A815679,,03/23/2020 10:05:00 AM,03/23/2020 10:05:00 AM,10513 Robinwood Circle in Austin (TX),Stray,Normal,Cat,Intact Female,3 days,Domestic Shorthair,White/Gray,,03/23/2020 06:56:00 PM,03/23/2020 06:56:00 PM,03/20/2020,Cat,Intact Female,3 days,Domestic Shorthair,White/Gray,0.0
A815676,,03/23/2020 08:26:00 AM,03/23/2020 08:26:00 AM,801 E William Cannon in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown,,03/23/2020 10:11:00 AM,03/23/2020 10:11:00 AM,03/23/2018,Other,Unknown,2 years,Bat,Brown,1.0
A815673,,03/22/2020 06:30:00 PM,03/22/2020 06:30:00 PM,2601 Cardinal Loop in Travis (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Brown,,03/23/2020 10:15:00 AM,03/23/2020 10:15:00 AM,03/22/2019,Other,Unknown,1 year,Bat,Brown,1.0
A815662,Duchess,03/22/2020 02:48:00 PM,03/22/2020 02:48:00 PM,Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Rottweiler,Black/Brown,Duchess,03/24/2020 02:55:00 PM,03/24/2020 02:55:00 PM,02/14/2018,Dog,Intact Female,2 years,Rottweiler,Black/Brown,0.0
A815658,,03/22/2020 01:27:00 PM,03/22/2020 01:27:00 PM,19805 Dornick Hills Ln in Travis (TX),Wildlife,Normal,Other,Intact Male,2 years,Bat,Black,,03/22/2020 04:15:00 PM,03/22/2020 04:15:00 PM,03/22/2018,Other,Intact Male,2 years,Bat,Black,1.0
A815650,,03/22/2020 10:42:00 AM,03/22/2020 10:42:00 AM,1156 West Cesar Chavez in Austin (TX),Stray,Nursing,Cat,Intact Female,5 days,Domestic Shorthair,Black/White,,03/22/2020 10:44:00 AM,03/22/2020 10:44:00 AM,03/17/2020,Cat,Intact Female,5 days,Domestic Shorthair,Black/White,0.0
A815640,,03/21/2020 05:09:00 PM,03/21/2020 05:09:00 PM,17112 Rockridge in Austin (TX),Wildlife,Sick,Other,Unknown,2 years,Skunk,Black/White,,03/22/2020 07:48:00 AM,03/22/2020 07:48:00 AM,03/21/2018,Other,Unknown,2 years,Skunk,Black/White,1.0
A815629,Draco,03/21/2020 12:40:00 PM,03/21/2020 12:40:00 PM,Austin (TX),Public Assist,Normal,Dog,Neutered Male,7 months,Labrador Retriever,Black,Draco,03/22/2020 05:35:00 PM,03/22/2020 05:35:00 PM,08/21/2019,Dog,Neutered Male,7 months,Labrador Retriever,Black,0.0
A815621,,03/21/2020 09:07:00 AM,03/21/2020 09:07:00 AM,5504 Stuart Circle in Austin (TX),Stray,Injured,Cat,Intact Female,2 years,Domestic Shorthair,White/Black,,03/21/2020 01:53:00 PM,03/21/2020 01:53:00 PM,03/21/2018,Cat,Intact Female,2 years,Domestic Shorthair,White/Black,1.0
A815619,,03/20/2020 08:17:00 PM,03/20/2020 08:17:00 PM,1910 San Jacinto in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown/Brown,,03/22/2020 07:47:00 AM,03/22/2020 07:47:00 AM,03/20/2018,Other,Unknown,2 years,Bat,Brown/Brown,1.0
A815618,,03/20/2020 05:33:00 PM,03/20/2020 05:33:00 PM,Austin (TX),Abandoned,Normal,Dog,Intact Female,11 months,Dachshund Wirehair/Chihuahua Shorthair,Red/White,,03/24/2020 09:55:00 AM,03/24/2020 09:55:00 AM,03/23/2019,Dog,Intact Female,1 year,Dachshund Wirehair/Chihuahua Shorthair,Red/White,0.0
A815616,,03/20/2020 05:33:00 PM,03/20/2020 05:33:00 PM,Austin (TX),Abandoned,Normal,Dog,Intact Male,4 months,Dachshund Wirehair Mix,Red/White,,03/24/2020 09:56:00 AM,03/24/2020 09:56:00 AM,10/24/2019,Dog,Intact Male,4 months,Dachshund Wirehair Mix,Red/White,0.0
A815615,,03/20/2020 05:33:00 PM,03/20/2020 05:33:00 PM,Austin (TX),Abandoned,Normal,Dog,Intact Female,2 months,Dachshund Mix,Red/White,,03/24/2020 09:56:00 AM,03/24/2020 09:56:00 AM,12/20/2019,Dog,Intact Female,3 months,Dachshund Mix,Red/White,0.0
A815614,,03/20/2020 05:33:00 PM,03/20/2020 05:33:00 PM,Austin (TX),Abandoned,Normal,Dog,Intact Female,2 months,Dachshund Mix,Black/Tricolor,,03/24/2020 09:55:00 AM,03/24/2020 09:55:00 AM,12/20/2019,Dog,Intact Female,3 months,Dachshund Mix,Black/Tricolor,0.0
A815611,Rona,03/20/2020 05:17:00 PM,03/20/2020 05:17:00 PM,2401 Bitter Creek in Austin (TX),Stray,Injured,Dog,Spayed Female,2 years,Dachshund,Buff,Rona,03/23/2020 06:49:00 PM,03/23/2020 06:49:00 PM,03/20/2018,Dog,Spayed Female,2 years,Dachshund,Buff,0.0
A815586,,03/20/2020 12:02:00 PM,03/20/2020 12:02:00 PM,6611 Vougeot Drive in Austin (TX),Stray,Sick,Dog,Intact Female,2 months,Chihuahua Shorthair,Black/Brown,,03/23/2020 05:25:00 PM,03/23/2020 05:25:00 PM,01/05/2020,Dog,Intact Female,2 months,Chihuahua Shorthair,Black/Brown,0.0
A815575,,03/19/2020 04:18:00 PM,03/19/2020 04:18:00 PM,1030 Norwood Park Blvd in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown,,03/19/2020 05:54:00 PM,03/19/2020 05:54:00 PM,03/19/2018,Other,Unknown,2 years,Bat,Brown,1.0
A815572,,03/12/2020 01:17:00 PM,03/12/2020 01:17:00 PM,Austin (TX),Public Assist,Nursing,Dog,Unknown,0 years,Labrador Retriever,Blue/White,,03/24/2020 03:04:00 PM,03/24/2020 03:04:00 PM,03/13/2020,Dog,Unknown,1 weeks,Labrador Retriever,Blue/White,0.0
A815571,,03/12/2020 01:17:00 PM,03/12/2020 01:17:00 PM,Austin (TX),Public Assist,Nursing,Dog,Unknown,0 years,Labrador Retriever,Blue/White,,03/24/2020 03:03:00 PM,03/24/2020 03:03:00 PM,03/13/2020,Dog,Unknown,1 weeks,Labrador Retriever,Blue/White,0.0
A815568,,03/19/2020 01:24:00 PM,03/19/2020 01:24:00 PM,610 E 11Th St in Austin (TX),Wildlife,Sick,Other,Unknown,2 years,Bat,Brown,,03/23/2020 09:06:00 AM,03/23/2020 09:06:00 AM,03/19/2018,Other,Unknown,2 years,Bat,Brown,1.0
A815565,Taylor,03/19/2020 08:42:00 AM,03/19/2020 08:42:00 AM,1900 Tasmanian Tiger Trace in Travis (TX),Stray,Injured,Dog,Spayed Female,14 years,Cocker Spaniel,Black/Brown,Taylor,03/19/2020 02:21:00 PM,03/19/2020 02:21:00 PM,03/19/2006,Dog,Spayed Female,14 years,Cocker Spaniel,Black/Brown,0.0
A815562,,03/19/2020 01:24:00 AM,03/19/2020 01:24:00 AM,Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Brown,,03/19/2020 09:27:00 AM,03/19/2020 09:27:00 AM,03/19/2019,Other,Unknown,,Bat,Brown,1.0
A815561,,03/18/2020 08:56:00 PM,03/18/2020 08:56:00 PM,14231 Tandem in Travis (TX),Wildlife,Injured,Other,Unknown,1 year,Bat,Brown,,03/19/2020 09:27:00 AM,03/19/2020 09:27:00 AM,03/18/2019,Other,Unknown,,Bat,Brown,1.0
A815558,,03/18/2020 08:43:00 PM,03/18/2020 08:43:00 PM,2432 Emmett Pkwy in Austin (TX),Wildlife,Injured,Other,Unknown,1 year,Bat,Brown,,03/23/2020 09:07:00 AM,03/23/2020 09:07:00 AM,03/18/2019,Other,Unknown,1 year,Bat,Brown,1.0
A815553,,03/18/2020 05:38:00 PM,03/18/2020 05:38:00 PM,1201 W 38Th St in Austin (TX),Wildlife,Sick,Other,Unknown,2 years,Bat,Brown,,03/18/2020 06:30:00 PM,03/18/2020 06:30:00 PM,03/18/2018,Other,Unknown,,Bat,Brown,1.0
A815548,,03/18/2020 04:38:00 PM,03/18/2020 04:38:00 PM,Arthur Stiles Road And Thurgood Avenue in Austin (TX),Stray,Injured,Dog,Intact Male,1 year,Rat Terrier,Tricolor,,03/22/2020 01:46:00 PM,03/22/2020 01:46:00 PM,03/18/2019,Dog,Intact Male,1 year,Rat Terrier,Tricolor,1.0
A815547,,03/18/2020 04:35:00 PM,03/18/2020 04:35:00 PM,2219 W Ben White Blvd in Austin (TX),Wildlife,Sick,Other,Unknown,2 years,Bat,Brown,,03/18/2020 05:09:00 PM,03/18/2020 05:09:00 PM,03/18/2018,Other,Unknown,2 years,Bat,Brown,1.0
A815540,,03/18/2020 01:28:00 PM,03/18/2020 01:28:00 PM,1156 West Cesar Chavez in Austin (TX),Abandoned,Normal,Other,Unknown,1 year,Guinea Pig,Red/White,,03/20/2020 11:55:00 AM,03/20/2020 11:55:00 AM,03/18/2019,Other,Unknown,1 year,Guinea Pig,Red/White,0.0
A815539,,03/18/2020 01:28:00 PM,03/18/2020 01:28:00 PM,1156 West Cesar Chavez in Austin (TX),Abandoned,Normal,Other,Unknown,1 year,Guinea Pig,Red/White,,03/20/2020 11:53:00 AM,03/20/2020 11:53:00 AM,03/18/2019,Other,Unknown,1 year,Guinea Pig,Red/White,0.0
A815536,Tank,03/18/2020 12:13:00 PM,03/18/2020 12:13:00 PM,5812 N I-35 in Austin (TX),Public Assist,Normal,Dog,Intact Male,11 months,Pit Bull,Brown,Tank,03/24/2020 11:49:00 AM,03/24/2020 11:49:00 AM,04/18/2019,Dog,Intact Male,11 months,Pit Bull,Brown,0.0
A815533,#5,03/18/2020 09:40:00 AM,03/18/2020 09:40:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,0 years,Domestic Shorthair Mix,Brown Tabby,#5,03/18/2020 01:37:00 PM,03/18/2020 01:37:00 PM,03/18/2020,Cat,Intact Female,0 years,Domestic Shorthair Mix,Brown Tabby,0.0
A815532,#4,03/18/2020 09:40:00 AM,03/18/2020 09:40:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,0 years,Domestic Shorthair Mix,Blue Tabby,#4,03/18/2020 01:37:00 PM,03/18/2020 01:37:00 PM,03/18/2020,Cat,Intact Female,0 years,Domestic Shorthair Mix,Blue Tabby,0.0
A815531,#3,03/18/2020 09:40:00 AM,03/18/2020 09:40:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,0 years,Domestic Shorthair Mix,Blue Tabby,#3,03/18/2020 01:36:00 PM,03/18/2020 01:36:00 PM,03/18/2020,Cat,Intact Male,0 years,Domestic Shorthair Mix,Blue Tabby,0.0
A815530,#2,03/18/2020 09:40:00 AM,03/18/2020 09:40:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,0 years,Domestic Shorthair Mix,Orange Tabby,#2,03/18/2020 01:36:00 PM,03/18/2020 01:36:00 PM,03/18/2020,Cat,Intact Male,0 years,Domestic Shorthair Mix,Orange Tabby,0.0
A815529,#1,03/18/2020 09:40:00 AM,03/18/2020 09:40:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,0 years,Domestic Shorthair Mix,Orange Tabby,#1,03/18/2020 01:36:00 PM,03/18/2020 01:36:00 PM,03/18/2020,Cat,Intact Male,0 years,Domestic Shorthair Mix,Orange Tabby,0.0
A815525,*Jack,03/17/2020 09:45:00 PM,03/17/2020 09:45:00 PM,7201 Levander Loop in Austin (TX),Abandoned,Normal,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black,*Jack,03/20/2020 12:00:00 AM,03/20/2020 12:00:00 AM,03/17/2018,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black,0.0
A815514,Simon,03/19/2020 02:48:00 PM,03/19/2020 02:48:00 PM,Austin (TX),Public Assist,Normal,Cat,Intact Male,11 months,Domestic Shorthair,Black,Simon,03/20/2020 01:24:00 PM,03/20/2020 01:24:00 PM,04/17/2019,Cat,Intact Male,11 months,Domestic Shorthair,Black,0.0
A815510,,03/17/2020 03:51:00 PM,03/17/2020 03:51:00 PM,1201 West Live Oak Street in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Anatol Shepherd Mix,Brown/White,,03/20/2020 11:16:00 AM,03/20/2020 11:16:00 AM,01/04/2020,Dog,Intact Male,2 months,Anatol Shepherd Mix,Brown/White,0.0
A815505,Luca,03/17/2020 02:45:00 PM,03/17/2020 02:45:00 PM,Hudson St in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Labrador Retriever Mix,Tan/White,Luca,03/17/2020 04:28:00 PM,03/17/2020 04:28:00 PM,09/17/2014,Dog,Neutered Male,5 years,Labrador Retriever Mix,Tan/White,0.0
A815500,,03/17/2020 12:04:00 PM,03/17/2020 12:04:00 PM,1208 W 38Th St in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown,,03/17/2020 12:49:00 PM,03/17/2020 12:49:00 PM,03/17/2018,Other,Unknown,2 years,Bat,Brown,1.0
A815499,,03/17/2020 10:36:00 AM,03/17/2020 10:36:00 AM,8902 Curlew Dr in Austin (TX),Wildlife,Injured,Other,Intact Male,2 years,Opossum,White,,03/17/2020 04:26:00 PM,03/17/2020 04:26:00 PM,03/17/2018,Other,Intact Male,2 years,Opossum,White,1.0
A815492,,03/16/2020 10:48:00 PM,03/16/2020 10:48:00 PM,100 S Congress Ave in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Brown,,03/18/2020 10:55:00 AM,03/18/2020 10:55:00 AM,03/16/2019,Other,Unknown,1 year,Bat,Brown,1.0
A815488,,03/16/2020 06:34:00 PM,03/16/2020 06:34:00 PM,2002 East Stassney Lane in Austin (TX),Abandoned,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Torbie,,03/18/2020 01:45:00 PM,03/18/2020 01:45:00 PM,03/16/2018,Cat,Intact Female,2 years,Domestic Shorthair Mix,Torbie,0.0
A815481,,03/16/2020 04:48:00 PM,03/16/2020 04:48:00 PM,5555 North Lamar in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Black/Brown,,03/17/2020 08:51:00 AM,03/17/2020 08:51:00 AM,03/16/2018,Other,Unknown,2 years,Bat,Black/Brown,1.0
A815478,,03/16/2020 04:16:00 PM,03/16/2020 04:16:00 PM,2021 Cueva De Oro in Austin (TX),Wildlife,Sick,Other,Unknown,1 year,Raccoon,Brown/Black,,03/16/2020 04:46:00 PM,03/16/2020 04:46:00 PM,03/16/2019,Other,Unknown,1 year,Raccoon,Brown/Black,1.0
A815470,Rojo,03/16/2020 12:28:00 PM,03/16/2020 12:28:00 PM,5400 Coventry Ln in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Leonberger,Brown,Rojo,03/17/2020 07:13:00 PM,03/17/2020 07:13:00 PM,03/16/2018,Dog,Intact Male,2 years,Leonberger,Brown,0.0
